x	y	cluster	P31_obj_set_id_label	P31_obj_set	colors	label_gold1
-13.557979	-47.98433	290	(Q1195098) ward	Q1195098	#ff7e00	administrative district
76.96984	-134.00926	351	(Q61278455) health sub-centre	Q61278455	#c40000	administrative district
-71.25679	-65.352234	321	(Q23827464) centre of Saudi Arabia	Q23827464	#ff3000	administrative district
-135.59183	10.317291	58	(Q28930084) parish of Victoria	Q28930084	#001cff	administrative district
-29.133972	-16.806726	252	(Q17205621) township of Iowa	Q17205621	#ffde00	administrative district
-9.996715	-24.695805	100	(Q3624938) city district of Brazil	Q3624938	#0090ff	administrative district
-165.28442	-13.8017235	41	(Q1070912) Zhou	Q1070912	#0000ff	administrative district
-84.2655	-83.28014	240	- , (Q3700011) kecamatan	Q3700011	#f1fc06	administrative district
108.49999	8.782997	228	(Q1723032) kamienica	Q1723032	#d7ff1f	administrative district
-33.324055	-24.057732	65	(Q15071808) selsaviet of Belarus	Q15071808	#0030ff	administrative district
70.94932	-134.21881	158	(Q155239) Indian reserve	Q155239	#3cffba	administrative district
-67.52585	-50.306442	246	(Q2023000) khutor	Q2023000	#feed00	administrative district
-96.154274	-83.799484	113	(Q965568) kelurahan	Q965568	#00b4ff	administrative district
-19.107975	9.536368	119	(Q20732405) volost of the Russian Empire	Q20732405	#00c4ff	administrative district
-75.700806	-16.268076	178	(Q24036024) apylinkė	Q24036024	#66ff90	administrative district
8.211002	-32.676598	369	(Q2066754) manor	Q2066754	#8d0000	administrative district
89.418526	-42.98499	122	(Q23019040) geographic township of Quebec	Q23019040	#00ccff	administrative district
-65.733	-27.34055	356	(Q6063801) parish of Venezuela	Q6063801	#b60000	administrative district
-63.63112	-39.001797	172	(Q2151232) townland	Q2151232	#5aff9d	administrative district
-37.34505	-46.01193	26	(Q61878) barangay	Q61878	#0000cd	administrative district
-99.03103	-85.19408	113	(Q2225692) fourth-level administrative division in Indonesia, (Q4285979) gampong	Q2225692, Q4285979	#00b4ff	administrative district
-105.97157	-0.5486021	329	(Q253019) Ortsteil, (Q5084) hamlet	Q253019, Q5084	#ff1a00	administrative district
-107.636086	-1.5285163	112	(Q1138414) hermitage, (Q253019) Ortsteil	Q1138414, Q253019	#00b0ff	administrative district
-51.86873	-56.48972	283	(Q490329) dong	Q490329	#ff9100	administrative district
-52.133064	-30.56143	12	(Q479053) gromada of Poland	Q479053	#0000a4	administrative district
-97.48463	-81.40428	113	(Q12488913) kampung of Papua, (Q2225692) fourth-level administrative division in Indonesia	Q12488913, Q2225692	#00b4ff	administrative district
-100.75818	-81.10027	113	(Q2225692) fourth-level administrative division in Indonesia, (Q5084) hamlet	Q2225692, Q5084	#00b4ff	administrative district
-44.201393	-39.01633	265	(Q20541692) settlement in Galicia, Spain	Q20541692	#ffbd00	administrative district
92.37834	-37.827835	340	- , (Q61089180) part of municipality in the Czech Republic	Q61089180	#e80000	administrative district
-30.41163	-16.588278	252	(Q9035798) township of Pennsylvania	Q9035798	#ffde00	administrative district
-50.89878	-27.866196	12	(Q4414033) rural council of Ukraine	Q4414033	#0000a4	administrative district
-51.641018	-46.02143	248	(Q192287) subdivisions of Russia, (Q2023000) khutor	Q192287, Q2023000	#ffea00	administrative district
-33.267258	-24.030626	65	(Q15071808) selsaviet of Belarus, (Q19953632) former administrative territorial entity	Q15071808, Q19953632	#0030ff	administrative district
-27.676334	-18.192959	374	(Q17198620) township of Ohio	Q17198620	#800000	administrative district
-64.63759	-28.934698	356	(Q12397176) parish of Galicia, (Q4976993) civil parish	Q12397176, Q4976993	#b60000	administrative district
-162.33945	-12.813257	41	(Q985488) residential community of the People's Republic of China	Q985488	#0000ff	administrative district
-51.827957	-31.250965	12	(Q4291381) Amalgamated hromada	Q4291381	#0000a4	administrative district
-25.4961	-30.839832	291	(Q28371991) village of Yemen	Q28371991	#ff7a00	administrative district
-162.94592	-13.400338	41	(Q50231) administrative territorial entity of the People's Republic of China	Q50231	#0000ff	administrative district
-22.21254	-59.48036	346	(Q28111) township in the United States	Q28111	#d60000	administrative district
-64.50763	-29.112091	356	(Q12397176) parish of Galicia	Q12397176	#b60000	administrative district
-54.49898	29.934793	192	(Q585956) masia	Q585956	#87ff70	administrative district
-10.573561	-40.235638	185	(Q5116010) election to the Parliament of Catalonia	Q5116010	#77ff80	administrative district
-24.280373	-57.68277	61	(Q17198545) township of Illinois	Q17198545	#0024ff	administrative district
10.94929	-121.40811	362	(Q6270791) township of Missouri	Q6270791	#a40000	administrative district
-29.236017	-10.859159	337	(Q17205774) township of Michigan	Q17205774	#f10800	administrative district
-12.072817	15.221596	234	(Q17205735) township of Kansas	Q17205735	#e4ff13	administrative district
-12.072351	15.22207	234	(Q24027556) township of Arkansas	Q24027556	#e4ff13	administrative district
59.186237	-120.6138	293	(Q17201685) township of Indiana	Q17201685	#ff7700	administrative district
-63.36314	-37.577404	172	(Q3910694) civil parishes of Ireland	Q3910694	#5aff9d	administrative district
-88.04452	-59.87754	326	(Q5154047) quarter/commune of Cambodia	Q5154047	#ff2200	administrative district
-42.382362	-39.907944	265	(Q22996476) ayuntamiento	Q22996476	#ffbd00	administrative district
71.497314	-133.09544	158	(Q55463514) tribal area	Q55463514	#3cffba	administrative district
-63.43484	-38.00212	172	(Q2500304) district electoral division	Q2500304	#5aff9d	administrative district
-30.23301	-49.92113	333	(Q483515) myeon	Q483515	#ff1300	administrative district
-71.681595	-66.52777	321	(Q23925393) douar	Q23925393	#ff3000	administrative district
-163.42902	-16.359436	41	(Q6503489) Law of the Republic of China	Q6503489	#0000ff	administrative district
-30.212812	-4.637113	337	(Q28739697) ancient county of China	Q28739697	#f10800	administrative district
-23.468222	-20.905842	200	(Q12809484) township-level division similar to townships	Q12809484	#97ff60	administrative district
-99.38566	-86.15165	113	(Q7930614) village of Taiwan	Q7930614	#00b4ff	administrative district
-19.998425	-12.141654	267	(Q18652188) Gaqaa	Q18652188	#ffb900	administrative district
12.50679	108.98982	111	(Q12409135) mineral index	Q12409135	#00acff	administrative district
-135.58748	10.321887	58	(Q28931760) parish of New South Wales	Q28931760	#001cff	administrative district
-20.470314	-59.731716	346	(Q104146934) United States of America State-level electoral district	Q104146934	#d60000	administrative district
-67.105644	-22.12777	66	(Q11722303) rural municipality of Sweden and Finland	Q11722303	#0034ff	administrative district
-52.116795	-56.302498	283	(Q12206807) block	Q12206807	#ff9100	administrative district
-71.05381	-64.760994	321	(Q7551933) mahallah	Q7551933	#ff3000	administrative district
-25.488129	-30.815546	291	(Q12225020) uzlah	Q12225020	#ff7a00	administrative district
-33.226635	-59.157154	273	(Q103910453) village or neigbourhood	Q103910453	#ffab00	administrative district
-86.16091	31.62892	341	(Q61786815) local heritage association in Sweden	Q61786815	#e40000	administrative district
-21.914242	-7.337379	18	(Q60169073) ward of Nigeria	Q60169073	#0000b6	administrative district
-53.91159	31.81865	192	(Q41176) building	Q41176	#87ff70	architecture
10.26872	-33.89233	243	(Q751876) château	Q751876	#f8f500	architecture
-34.690758	43.41371	249	(Q17715832) castle ruin	Q17715832	#ffe600	architecture
12.62176	-34.779667	243	(Q16560) palace	Q16560	#f8f500	architecture
-58.64654	-51.661415	108	(Q5783996) cottage	Q5783996	#00a4ff	architecture
-34.604515	43.735004	249	(Q23413) castle	Q23413	#ffe600	architecture
-34.780052	74.15563	31	(Q483453) fountain	Q483453	#0000df	architecture
-38.006023	28.351418	88	(Q811979) architectural structure	Q811979	#0070ff	architecture
-33.385532	43.738686	249	(Q92026) Japanese castle	Q92026	#ffe600	architecture
64.64555	-11.83797	305	(Q35112127) historic building	Q35112127	#ff5900	architecture
45.296017	52.71931	203	(Q18142) high-rise building	Q18142	#9dff5a	architecture
8.179891	-33.21355	369	(Q879050) manor house	Q879050	#8d0000	architecture
-125.14684	25.607515	124	(Q1244442) school building	Q1244442	#00d0ff	architecture
6.5932407	5.0549655	132	(Q3947) house	Q3947	#02e8f4	architecture
45.642174	52.5638	203	(Q11303) skyscraper	Q11303	#9dff5a	architecture
70.28568	-15.115259	127	(Q210272) cultural heritage	Q210272	#00d8ff	architecture
14.051881	-35.36217	243	(Q1365179) private mansion	Q1365179	#f8f500	architecture
16.807615	1.7756383	210	(Q1307276) single-family detached home	Q1307276	#adff49	architecture
-1.9048768	7.394186	260	(Q18247357) group of structures or buildings	Q18247357	#ffcc00	architecture
-36.27814	26.867882	88	(Q4387609) architectural firm	Q4387609	#0070ff	architecture
-53.711494	32.494034	192	(Q42948) wall	Q42948	#87ff70	architecture
-2.25817	9.091774	260	(Q1497375) architectural ensemble	Q1497375	#ffcc00	architecture
0.5559195	6.39511	260	(Q1498804) multiple dwellings	Q1498804	#ffcc00	architecture
47.439823	54.5498	203	(Q1440300) observation tower	Q1440300	#9dff5a	architecture
-122.01719	-31.9133	22	(Q1497375) architectural ensemble, (Q16970) church building	Q1497375, Q16970	#0000c4	architecture
23.663736	69.25649	277	(Q1068842) footbridge	Q1068842	#ff9f00	architecture
17.94404	19.297197	141	(Q655686) commercial building	Q655686	#16ffe1	architecture
-73.7718	47.283432	45	(Q109607) ruins	Q109607	#0000ff	architecture
-85.78828	39.2876	74	(Q2065736) cultural property, (Q3947) house	Q2065736, Q3947	#0048ff	architecture
-88.56162	55.28022	145	(Q1584134) mound	Q1584134	#1fffd7	architecture
7.3111396	-34.519978	369	(Q16974307) Dwór	Q16974307	#8d0000	architecture
-5.822499	49.799	83	(Q191360) foundation	Q191360	#0060ff	architecture
-39.816784	148.57898	52	(Q1303167) barn	Q1303167	#000cff	architecture
-42.295288	149.70316	52	(Q214252) stable	Q214252	#000cff	architecture
64.30961	-10.764893	305	(Q5773747) historic house	Q5773747	#ff5900	architecture
7.3956	6.8386526	132	(Q1577547) revenue house	Q1577547	#02e8f4	architecture
17.881031	1.319623	210	(Q5890494) homestead	Q5890494	#adff49	architecture
-54.158283	31.011578	192	(Q41176) building, (Q585956) masia	Q41176, Q585956	#87ff70	architecture
6.9591465	1.3066	132	(Q17489143) building with cornice, (Q3947) house	Q17489143, Q3947	#02e8f4	architecture
123.887924	39.75366	173	(Q284053) dado	Q284053	#5dff9a	architecture
54.113567	87.62946	107	(Q10480682) agricultural structure	Q10480682	#00a4ff	architecture
-26.635923	43.16959	9	(Q12020836) timber-framed house	Q12020836	#00009b	architecture
-121.422935	2.3504534	176	(Q695992) niche	Q695992	#63ff94	architecture
16.21325	2.014934	210	(Q1202402) townhouse	Q1202402	#adff49	architecture
-23.397379	-4.6161013	18	(Q12029081) nan	Q12029081	#0000b6	architecture
